Channel,Counts,,Setting,Value
1,0,,Detector angle,90
2,0,,Target angle,20
3,0,,Voltage (kV),35
4,0,,Current (mA),1
5,0,,Gate time (s),300
6,0,,,
7,0,,,
8,0,,,
9,0,,,
10,0,,,
11,0,,,
12,0,,,
13,0,,,
14,0,,,
15,0,,,
16,0,,,
17,0,,,
18,0,,,
19,0,,,
20,0,,,
21,0,,,
22,0,,,
23,0,,,
24,0,,,
25,0,,,
26,0,,,
27,0,,,
28,0,,,
29,0,,,
30,0,,,
31,0,,,
32,0,,,
33,0,,,
34,0,,,
35,2,,,
36,3,,,
37,3,,,
38,9,,,
39,9,,,
40,15,,,
41,15,,,
42,23,,,
43,18,,,
44,25,,,
45,34,,,
46,24,,,
47,31,,,
48,22,,,
49,34,,,
50,29,,,
51,34,,,
52,34,,,
53,21,,,
54,23,,,
55,36,,,
56,30,,,
57,21,,,
58,32,,,
59,20,,,
60,32,,,
61,27,,,
62,20,,,
63,34,,,
64,33,,,
65,26,,,
66,29,,,
67,29,,,
68,21,,,
69,28,,,
70,28,,,
71,20,,,
72,26,,,
73,24,,,
74,25,,,
75,23,,,
76,20,,,
77,40,,,
78,20,,,
79,27,,,
80,29,,,
81,32,,,
82,32,,,
83,16,,,
84,34,,,
85,26,,,
86,25,,,
87,24,,,
88,28,,,
89,23,,,
90,21,,,
91,17,,,
92,34,,,
93,22,,,
94,28,,,
95,18,,,
96,28,,,
97,27,,,
98,16,,,
99,24,,,
100,23,,,
101,20,,,
102,28,,,
103,20,,,
104,15,,,
105,30,,,
106,28,,,
107,29,,,
108,28,,,
109,24,,,
110,29,,,
111,19,,,
112,31,,,
113,23,,,
114,27,,,
115,21,,,
116,25,,,
117,25,,,
118,22,,,
119,32,,,
120,20,,,
121,39,,,
122,50,,,
123,48,,,
124,46,,,
125,39,,,
126,52,,,
127,50,,,
128,45,,,
129,32,,,
130,39,,,
131,38,,,
132,40,,,
133,35,,,
134,41,,,
135,36,,,
136,38,,,
137,39,,,
138,45,,,
139,50,,,
140,38,,,
141,42,,,
142,35,,,
143,49,,,
144,43,,,
145,63,,,
146,62,,,
147,45,,,
148,52,,,
149,45,,,
150,55,,,
151,45,,,
152,32,,,
153,28,,,
154,38,,,
155,29,,,
156,27,,,
157,38,,,
158,22,,,
159,31,,,
160,33,,,
161,35,,,
162,30,,,
163,30,,,
164,30,,,
165,33,,,
166,29,,,
167,28,,,
168,26,,,
169,30,,,
170,32,,,
171,32,,,
172,29,,,
173,32,,,
174,26,,,
175,29,,,
176,15,,,
177,25,,,
178,30,,,
179,28,,,
180,32,,,
181,20,,,
182,40,,,
183,33,,,
184,33,,,
185,38,,,
186,55,,,
187,59,,,
188,57,,,
189,80,,,
190,83,,,
191,79,,,
192,74,,,
193,64,,,
194,53,,,
195,53,,,
196,36,,,
197,42,,,
198,33,,,
199,30,,,
200,26,,,
201,25,,,
202,28,,,
203,25,,,
204,27,,,
205,31,,,
206,25,,,
207,22,,,
208,25,,,
209,33,,,
210,25,,,
211,36,,,
212,21,,,
213,22,,,
214,29,,,
215,26,,,
216,29,,,
217,38,,,
218,32,,,
219,54,,,
220,41,,,
221,56,,,
222,62,,,
223,72,,,
224,63,,,
225,70,,,
226,55,,,
227,72,,,
228,60,,,
229,47,,,
230,51,,,
231,52,,,
232,53,,,
233,59,,,
234,45,,,
235,46,,,
236,52,,,
237,39,,,
238,43,,,
239,41,,,
240,39,,,
241,29,,,
242,50,,,
243,35,,,
244,45,,,
245,39,,,
246,46,,,
247,53,,,
248,46,,,
249,58,,,
250,34,,,
251,47,,,
252,43,,,
253,47,,,
254,47,,,
255,44,,,
256,55,,,
257,44,,,
258,59,,,
259,63,,,
260,54,,,
261,73,,,
262,55,,,
263,74,,,
264,59,,,
265,56,,,
266,39,,,
267,62,,,
268,65,,,
269,68,,,
270,60,,,
271,68,,,
272,69,,,
273,59,,,
274,65,,,
275,70,,,
276,60,,,
277,60,,,
278,83,,,
279,69,,,
280,70,,,
281,85,,,
282,70,,,
283,66,,,
284,64,,,
285,70,,,
286,92,,,
287,90,,,
288,74,,,
289,93,,,
290,88,,,
291,76,,,
292,73,,,
293,94,,,
294,81,,,
295,93,,,
296,93,,,
297,91,,,
298,97,,,
299,98,,,
300,106,,,
301,96,,,
302,99,,,
303,109,,,
304,125,,,
305,110,,,
306,93,,,
307,116,,,
308,120,,,
309,100,,,
310,136,,,
311,137,,,
312,117,,,
313,146,,,
314,130,,,
315,145,,,
316,172,,,
317,185,,,
318,181,,,
319,224,,,
320,226,,,
321,297,,,
322,307,,,
323,361,,,
324,397,,,
325,454,,,
326,469,,,
327,487,,,
328,535,,,
329,494,,,
330,471,,,
331,425,,,
332,414,,,
333,384,,,
334,319,,,
335,323,,,
336,329,,,
337,294,,,
338,297,,,
339,293,,,
340,254,,,
341,219,,,
342,211,,,
343,175,,,
344,162,,,
345,132,,,
346,128,,,
347,106,,,
348,86,,,
349,102,,,
350,111,,,
351,83,,,
352,81,,,
353,107,,,
354,121,,,
355,98,,,
356,114,,,
357,118,,,
358,118,,,
359,133,,,
360,153,,,
361,166,,,
362,153,,,
363,165,,,
364,169,,,
365,194,,,
366,179,,,
367,166,,,
368,162,,,
369,166,,,
370,151,,,
371,143,,,
372,137,,,
373,123,,,
374,110,,,
375,107,,,
376,110,,,
377,83,,,
378,133,,,
379,100,,,
380,103,,,
381,87,,,
382,82,,,
383,89,,,
384,71,,,
385,84,,,
386,74,,,
387,68,,,
388,55,,,
389,65,,,
390,67,,,
391,76,,,
392,58,,,
393,68,,,
394,61,,,
395,66,,,
396,56,,,
397,37,,,
398,63,,,
399,58,,,
400,61,,,
401,59,,,
402,55,,,
403,63,,,
404,51,,,
405,50,,,
406,65,,,
407,53,,,
408,54,,,
409,52,,,
410,50,,,
411,69,,,
412,55,,,
413,52,,,
414,53,,,
415,60,,,
416,53,,,
417,58,,,
418,58,,,
419,63,,,
420,59,,,
421,45,,,
422,51,,,
423,60,,,
424,62,,,
425,58,,,
426,74,,,
427,55,,,
428,54,,,
429,66,,,
430,51,,,
431,37,,,
432,28,,,
433,48,,,
434,36,,,
435,49,,,
436,43,,,
437,39,,,
438,49,,,
439,42,,,
440,43,,,
441,44,,,
442,49,,,
443,44,,,
444,36,,,
445,38,,,
446,39,,,
447,29,,,
448,34,,,
449,39,,,
450,46,,,
451,34,,,
452,34,,,
453,50,,,
454,43,,,
455,41,,,
456,48,,,
457,34,,,
458,36,,,
459,27,,,
460,29,,,
461,31,,,
462,43,,,
463,28,,,
464,35,,,
465,41,,,
466,33,,,
467,21,,,
468,32,,,
469,35,,,
470,21,,,
471,28,,,
472,37,,,
473,32,,,
474,17,,,
475,31,,,
476,32,,,
477,26,,,
478,30,,,
479,29,,,
480,25,,,
481,26,,,
482,30,,,
483,24,,,
484,24,,,
485,22,,,
486,15,,,
487,22,,,
488,25,,,
